지점,일시,평균,최고,최저
90,1968-01-01,-0.7,11.4,-11.4
90,1968-02-01,-2.1,9.7,-9.9
90,1968-03-01,5.9,20.5,-3.2
90,1968-04-01,10.5,21.4,4
90,1968-05-01,14.6,24.5,9.3
90,1968-06-01,18.5,29.2,11.4
90,1968-07-01,22.8,35.8,17.1
90,1968-08-01,23.3,31.9,16.6
90,1968-09-01,19.9,27.1,11
90,1968-10-01,13.3,23.3,6.9
90,1968-11-01,9.5,20.8,-5.4
90,1968-12-01,5,16.7,-6.8
90,1969-01-01,-0.9,10.4,-12.2
90,1969-02-01,-1,13.5,-11.1
90,1969-03-01,3.5,21.6,-6.1
90,1969-04-01,10.7,26.6,-0.8
90,1969-05-01,16.3,28.4,9.1
90,1969-06-01,19.6,29.9,9
90,1969-07-01,23.3,32.4,15.8
90,1969-08-01,24.8,33.8,18.6
90,1969-09-01,19.6,29.1,13.7
90,1969-10-01,14.6,25.4,5.8
90,1969-11-01,7.6,20.4,-3.1
90,1969-12-01,1,12.8,-10.6
90,1970-01-01,-1.4,9.6,-15.6
90,1970-02-01,1.8,16.6,-8.4
90,1970-03-01,1.9,19.4,-5.7
90,1970-04-01,10.2,21,2.6
90,1970-05-01,16.5,30,9.2
90,1970-06-01,18.6,27.8,10.6
90,1970-07-01,22.2,35.2,12.7
90,1970-08-01,23.4,32.4,19.2
90,1970-09-01,20.4,29.9,11
90,1970-10-01,15,23.4,4.1
90,1970-11-01,8.1,20.5,-8.7
90,1970-12-01,2,16.6,-7.8
90,1971-01-01,-0.1,10.4,-9.8
90,1971-02-01,0.1,7.9,-10.1
90,1971-03-01,3.9,23,-7.7
90,1971-04-01,11.2,26.4,2.5
90,1971-05-01,16.4,31.3,4.8
90,1971-06-01,19.3,30.5,11.7
90,1971-07-01,23.7,34.5,17.6
90,1971-08-01,22.6,35.4,16.8
90,1971-09-01,18.9,25.2,11.9
90,1971-10-01,14.3,23.4,5
90,1971-11-01,10.6,23.9,-5.4
90,1971-12-01,2.6,13,-5.4
90,1972-01-01,1.8,9.8,-5.6
90,1972-02-01,-0.6,4.8,-7
90,1972-03-01,4.3,20.2,-6.1
90,1972-04-01,10.8,28.4,-3.5
90,1972-05-01,15.5,27.8,7.3
90,1972-06-01,19.5,33.6,13.1
90,1972-07-01,23.9,34.4,16.8
90,1972-08-01,23.7,34.2,16.8
90,1972-09-01,18.6,25.6,11
90,1972-10-01,15.1,25,4.9
90,1972-11-01,7.3,16.9,-5.1
90,1972-12-01,3.1,14.7,-8.4
90,1973-01-01,0.8,7.8,-9.2
90,1973-02-01,2.1,12.5,-7.8
90,1973-03-01,4.7,23.6,-4.2
90,1973-04-01,12.7,28.2,2.9
90,1973-05-01,15.2,28.2,6.8
90,1973-06-01,18,30.8,9.1
90,1973-07-01,24.6,34.6,17.1
90,1973-08-01,25.8,34.6,19.3
90,1973-09-01,19.4,25.8,9.5
90,1973-10-01,13.9,26,5.2
90,1973-11-01,7.5,18.8,-3.8
90,1973-12-01,0.6,12.4,-12.1
90,1974-01-01,-0.7,10,-12.6
90,1974-02-01,-0.6,11.3,-11.7
90,1974-03-01,3.9,14.3,-7.4
90,1974-04-01,10.8,22.6,0.8
90,1974-05-01,15.4,30.4,7.6
90,1974-06-01,17.4,33.2,7.8
90,1974-07-01,18.3,27.3,14
