瘤痢,老矫,乞闭惑措嚼档(%)
力林,2016-07-01,80
力林,2016-08-01,74
力林,2016-09-01,80
力林,2016-10-01,76
力林,2016-11-01,69
力林,2016-12-01,67
力林,2017-01-01,66
力林,2017-02-01,61
力林,2017-03-01,60
力林,2017-04-01,64
力林,2017-05-01,64
力林,2017-06-01,77
力林,2017-07-01,76
力林,2017-08-01,74
力林,2017-09-01,71
力林,2017-10-01,72
力林,2017-11-01,64
力林,2017-12-01,61
力林,2018-01-01,67
力林,2018-02-01,60
力林,2018-03-01,72
力林,2018-04-01,68
力林,2018-05-01,76
力林,2018-06-01,79
力林,2018-07-01,81
力林,2018-08-01,78
力林,2018-09-01,75
力林,2018-10-01,64
力林,2018-11-01,65
力林,2018-12-01,68
力林,2019-01-01,64
力林,2019-02-01,63
力林,2019-03-01,63
力林,2019-04-01,68
力林,2019-05-01,56
力林,2019-06-01,80
