연도,평균최저기온,평균최고기온,평균 상대습도
1905,11,17.9,69.8
1906,9.5,16.8,64.8
1907,9.8,17.6,65.9
1908,9.7,17.2,63.3
1909,9.7,17.8,63.8
1910,9.5,16.7,67
1911,10.1,17.2,68.6
1912,9.6,17.3,64.9
1913,8.9,17,60.8
1914,10.8,18,65.8
1915,10.4,17.5,64
1916,10.4,17.7,66
1917,8.8,16.5,61.5
1918,9.2,17.5,67.6
1919,9.9,18.3,66.4
1920,10.5,18,69.5
1921,9.8,17.3,68.2
1922,10.3,18.2,67.1
1923,9.8,17.7,68.1
1924,9.4,18,67.9
1925,9.6,18,66.3
1926,9,17.9,65.2
1927,9.6,18.4,67.3
1928,9.8,18.5,67.8
1929,10.1,18.6,65.1
1930,10.7,18.5,66.9
1931,10.1,17.9,67.8
1932,10,18.2,65.3
1933,10.3,17.9,65.1
1934,9.9,17.1,64.2
1935,10.8,17.9,65.3
1936,9.5,16.8,66.3
1937,11,18.4,66.7
1938,10.5,18.2,65
1939,10.9,18.9,63.9
1940,10.2,18.4,63.8
1941,10.4,18.5,67
1942,10.3,18.6,64.4
1943,10.4,18.7,64.6
1944,10.2,19,63.3
1945,9.7,18.2,65.1
1946,10.6,18.7,67.1
1947,9,17.5,65
1948,10.9,18.9,68.8
1949,10.4,18.2,67.5
1950,10.7,18.5,66
1951,10.9,18.5,64.8
1952,10.5,17.8,65.9
1953,10.8,18.1,65.2
1954,11,18,69.3
1955,10.9,18.3,67.4
1956,9.6,17,68.4
1957,10.2,17.7,69.5
1958,10.9,18.4,67.2
1959,11.3,18.6,67.3
1960,11.1,18.7,65.9
1961,11.4,18.6,67.2
1962,10.4,18.1,64.5
1963,10,17.2,67.8
1964,11.4,18.5,67.8
1965,10.2,18,65.1
1966,10.9,18.1,66.7
1967,10.8,18,66.2
1968,10.6,17.8,64.7
1969,10.4,17.4,65.3
1970,10.6,17.4,66
1971,10.9,17.9,65.9
1972,11.1,17.9,71.5
1973,11.2,18.5,67.3
1974,10.4,17.7,66.4
1975,11.6,18.3,68.4
1976,10.3,17.7,67
1977,10.8,18.4,66.6
1978,11.4,19.3,64.8
1979,11.4,18.9,65.3
1980,9.9,17.4,67.3
1981,10,18,67.3
1982,10.9,18.8,67.3
1983,10.8,18.6,65.8
1984,10.4,18.2,62.6
1985,10.9,18.4,67.8
1986,10.1,18.4,65.1
1987,10.9,18.8,66
1988,10.8,18.7,65.9
1989,11.7,19.3,69.7
1990,12.3,19.6,70.3
1991,11.2,18.6,67.3
1992,11.5,18.8,65.6
1993,10.7,18.2,67.7
1994,12.2,20,63.6
1995,11,19.1,64.8
1996,10.9,19.1,63.2
1997,11.7,19.8,64.3
1998,12.8,19.7,67
1999,11.8,19.2,64.3
2000,11.6,19.2,65.9
2001,12,20,64.7
2002,11.4,18.9,63.9
2003,11.2,18.5,65.3
2004,11.5,19.3,60.1
2005,10.5,18.1,59.7
2006,11.4,18.9,62.3
2007,12.4,19.1,61.6
2008,12,18.8,63
2009,12.1,19.2,61.6
2010,11.7,19,62.3
2011,11.3,18.8,60.3
2012,11.3,18.6,58.3
2013,11.8,19.5,56.9
2014,12,19.2,66.3
2015,12.2,19.5,67.3
2016,12.5,19.8,66.1
2017,11.7,19.6,60.3
2018,11.8,19.2,63.2
