순번,SIDO,PLACE,LAT,MANAGER,LON,SSID,TEL,GU_DESC,JIBUN_ADDR,ROAD_ADDR,PLACE_DETAIL,MANUFACTURER,TYPE
1,부산광역시,부산광역시 강서구,35.212205,부산광역시 강서구청,128.980626,Public WiFi,051-970-4175,강서구,부산광역시 강서구 대저1동 2300,부산광역시 강서구 낙동북로 477,민원실,LGU+,관공서
2,부산광역시,지사민원센터,35.150603,부산광역시 강서구청,128.833995,Public WiFi,051-970-4175,강서구,부산광역시 강서구 지사동 1180,부산광역시 강서구 과학산단2로 20번길 5,민원실,LGU+,관공서
3,부산광역시,강동보건지소,35.2159,부산광역시 강서구청,128.937696,Public WiFi,051-970-4175,강서구,부산광역시 강서구 강동동 60-3,부산광역시 강서구 낙동북로 102번길 76,민원실,LGU+,관공서
4,부산광역시,강서구 보건소,35.1806278,부산광역시 강서구청,128.9570987,Public WiFi,051-970-4175,강서구,부산광역시 강서구 대저2동 1932-1,부산광역시 강서구 공항로811번가길 10,민원실,LGU+,관공서
5,부산광역시,산업단지 행정지원센터,35.0838571,부산광역시 강서구청,128.839975,Public WiFi,051-970-4175,강서구,부산광역시 강서구 송정동 1759,부산광역시 강서구 녹산산단262로50번길 53,민원실,LGU+,관공서
6,부산광역시,가덕도동 주민센터,35.052639,부산광역시 강서구청,128.830696,Public WiFi,051-970-4175,강서구,부산광역시 강서구 성북동 407-1,부산광역시 강서구 천가길338번길 1,민원실,LGU+,관공서
7,부산광역시,명지동 주민센터,35.084745,부산광역시 강서구청,128.899769,Public WiFi,051-970-4175,강서구,부산광역시 강서구 명지동 1443-2,부산광역시 강서구 영강길 19번길 58,민원실,LGU+,관공서
8,부산광역시,녹산동 주민센터,35.153454,부산광역시 강서구청,128.831938,Public WiFi,051-970-4175,강서구,부산광역시 강서구 범방동 1843-2,부산광역시 강서구 가락대로 900번가길 32,민원실,LGU+,관공서
9,부산광역시,가락동 주민센터,35.196447,부산광역시 강서구청,128.901775,Public WiFi,051-970-4175,강서구,부산광역시 강서구 죽림동 716-3,부산광역시 강서구 가락대로 1476,민원실,LGU+,관공서
10,부산광역시,강동동 주민센터,35.214776,부산광역시 강서구청,128.935303,Public WiFi,051-970-4175,강서구,부산광역시 강서구 강동동 135-1,부산광역시 강서구 제도로 1171,민원실,LGU+,관공서
11,부산광역시,대저2동 주민센터,35.178683,부산광역시 강서구청,128.95761,Public WiFi,051-970-4175,강서구,부산광역시 강서구 대저2동 2011-3,부산광역시 강서구 공항로811번가길 30-1,민원실,LGU+,관공서
12,부산광역시,대저1동 주민센터,35.214609,부산광역시 강서구청,128.980643,Public WiFi,051-970-4175,강서구,부산광역시 강서구 대저1동 2377-10,부산광역시 강서구 대저로255번길 15,민원실,LGU+,관공서
13,부산광역시,부산광역시 강서구,35.212205,부산광역시 강서구청,128.980626,Public WiFi,051-970-4175,강서구,부산광역시 강서구 대저1동 2300,부산광역시 강서구 낙동북로 477,여성센터,SKT,서민·복지시설
