지진해일대피소명,지진해일대피소구분,지진해일대피소유형,지진해일대피소유형구분,소재지도로명주소,소재지지번주소,위도,경도,수용가능면적,최대수용인원수,지진해일대피소운영상태,지진해일대피소전화번호,부대편의시설,주민대피지구명,주민대피지구내가구수,주민대피지구내거주인수,주민대피지구내재해약자수,내진적용여부,내진설계등급,해안선이격거리,해발높이,지진대피안내표지판수,긴급대피장소안내표지판수,지진대피로안내표지판수,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명,
내수2근린공원,지진대피소,옥외대피소,공원,서울특별시 종로구 경희궁4길,서울특별시 종로구 내수동 73-3,37.572387,126.971583,2192,664,Y,02-2148-2842,,별도 지구지정사항 없음,,,,미적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
대동세무고등학교,지진대피소,옥외대피소,운동장,서울특별시 종로구 계동길 84-10,,37.5819196,126.9879303,2000,1000,Y,02-763-1630,,별도 지구지정사항 없음,,,,미적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
대신고등학교,지진대피소,옥외대피소,운동장,서울특별시 종로구 사직로 9,,37.572915,126.961601,4663,1413,Y,02-736-0317,,별도 지구지정사항 없음,,,,미적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
덕성여자고등학교,지진대피소,옥외대피소,운동장,서울특별시 종로구 율곡로3길 50,,37.577918,126.982867,4180,1260,Y,02-734-6871,,별도 지구지정사항 없음,,,,미적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
덕성여자중학교,지진대피소,옥외대피소,운동장,서울특별시 종로구 율곡로3길 49,,37.5779448,126.981778,6701,2030,Y,02-733-4807,,별도 지구지정사항 없음,,,,미적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
동대문성곽공원,지진대피소,옥외대피소,공원,서울특별시 종로구 종로6가 70,,37.572179,127.009045,11519,4000,Y,02-2148-2842,,별도 지구지정사항 없음,,,,미적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
매동초등학교,지진대피소,옥외대피소,학교,서울특별시 종로구 사직로9길 19(필운동),,37.577191,126.966852,2800,848,Y,02-737-5083,,별도 지구지정사항 없음,,,,미적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
명륜공원,지진대피소,옥외대피소,공원,서울특별시 종로구 혜화로9길 24-9,서울특별시 종로구 명륜1가 23-9,37.5880158,126.998236,1149,400,Y,02-2148-2842,,별도 지구지정사항 없음,,,,미적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
명신초등학교,지진대피소,옥외대피소,운동장,서울특별시 종로구 낙산길 250,,37.5812388,127.013953,2520,763,Y,02-766-1415,,별도 지구지정사항 없음,,,,미적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
내수1근린공원,지진대피소,옥외대피소,공원,서울특별시 종로구 경희궁4길,서울특별시 종로구 내수동 71-2,37.573664,126.970521,2392,725,Y,02-2148-2842,,별도 지구지정사항 없음,,,,미적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
무악공원,지진대피소,옥외대피소,공원,서울특별시 종로구 통일로18가길 2,서울특별시 종로구 무악동 산 2-83,37.577439,126.960618,1050,318,Y,02-2148-2842,,별도 지구지정사항 없음,,,,미적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
무악동쉼터,지진대피소,옥외대피소,공원,서울특별시 종로구 통일로18길 65,서울특별시 종로구 무악동 75-3,37.576556,126.960706,2714,822,Y,02-2148-2842,,별도 지구지정사항 없음,,,,미적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
