"역번호",역사명,노선번호,노선명,영문역사명,한자역사명,환승역구분,환승노선번호,환승노선명,역위도,역경도,운영기관명,역사도로명주소,역사전화번호,데이터기준일자
95,다대포해수욕장,S2601,부산도시철도 1호선,Dadaepo Beach,多大浦海水浴場,일반역,,,35.089951,128.973971,부산교통공사,부산광역시 사하구 다대로 지하 692,051-678-6195,2019-05-20
96,다대포항역,S2601,부산도시철도 1호선,Dadaepo Harbor,多大浦港,일반역,,,35.081631,128.977636,부산교통공사,부산광역시 사하구 다대로 지하 548,051-678-6196,2019-05-20
97,낫개역,S2601,부산도시철도 1호선,Natgae,羅 浦,일반역,,,35.074433,128.977041,부산교통공사,부산광역시 사하구 다대로 지하 422,051-678-6197,2019-05-20
98,신장림역,S2601,부산도시철도 1호선,Sinjangnim,新長林,일반역,,,35.065265,128.979873,부산교통공사,부산광역시 사하구 다대로 지하 310,051-678-6198,2019-05-20
99,장림역,S2601,부산도시철도 1호선,Jangnim,長林,일반역,,,35.057419,128.971279,부산교통공사,부산광역시 사하구 다대로 지하 230,051-618-6199,2019-05-20
100,동매역,S2601,부산도시철도 1호선,Dongmae,東 山,일반역,,,35.048621,128.965908,부산교통공사,부산광역시 사하구 신산로 지하 168,051-618-6100,2019-05-20
101,신평역,S2601,부산도시철도 1호선,Sinpyeong,新平,일반역,,,35.095179,128.960564,부산교통공사,부산광역시 사하구 하신번영로 140,051-678-6101,2019-05-20
102,하단역,S2601,부산도시철도 1호선,Hadan,下端,일반역,,,35.106180,128.966803,부산교통공사,부산광역시 사하구 낙동남로 지하 1415,051-678-6102,2019-05-20
103,당리역,S2601,부산도시철도 1호선,Dangni,堂里,일반역,,,35.103532,128.973846,부산교통공사,부산광역시 사하구 낙동대로 지하 405,051-678-6103,2019-05-20
104,사하역,S2601,부산도시철도 1호선,Saha,沙下,일반역,,,35.099847,128.983100,부산교통공사,부산광역시 사하구 낙동대로 지하 309,051-678-6104,2019-05-20
105,괴정역,S2601,부산도시철도 1호선,Goejeong,槐亭,일반역,,,35.099816,128.992144,부산교통공사,부산광역시 사하구 낙동대로 지하 221,051-678-6105,2019-05-20
106,대티역,S2601,부산도시철도 1호선,Daeti,大峙,일반역,,,35.103126,128.999936,부산교통공사,부산광역시 사하구 낙동대로 지하 141,051-678-6106,2019-05-20
107,서대신역,S2601,부산도시철도 1호선,Seodaesin,西大新,일반역,,,35.110937,129.012178,부산교통공사,부산광역시 서구 대영로 지하 1,051-678-6107,2019-05-20
